"year","industry_branch","avg_wage","food_category","avg_price","unit"
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,"Pivo výčepní, světlé, lahvové",8.448800000000004,l
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Papriky,35.310199999999995,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Kuřata kuchaná celá,47.47420000000001,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Jogurt bílý netučný,5.829,g
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Šunkový salám,116.77419999999996,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Jablka konzumní,30.714799999999986,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Těstoviny vaječné,26.095600000000005,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Rostlinný roztíratelný tuk,69.45240000000001,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Rajská jablka červená kulatá,57.829800000000006,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Banány žluté,27.30520000000001,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Rýže loupaná dlouhozrnná,21.28900000000001,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Vejce slepičí čerstvá,23.494,ks
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Hovězí maso zadní bez kosti,166.33839999999998,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Cukr krystalový,21.726199999999995,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Eidamská cihla,110.94640000000003,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Chléb konzumní kmínový,16.1234,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Mrkev,14.409799999999997,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Mléko polotučné pasterované,14.437999999999999,l
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Přírodní minerální voda uhličitá,7.687799999999998,l
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Kapr živý,69.35000000000001,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Konzumní brambory,12.075399999999997,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Pšeničná mouka hladká,7.407199999999998,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Vepřová pečeně s kostí,105.17739999999998,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Pečivo pšeničné bílé,38.596799999999995,kg
2006,Veřejná správa a obrana; povinné sociální zabezpečení,23285,Pomeranče,24.73379999999999,kg
2006,Administrativní a podpůrné činnosti,14444,Máslo,104.38779999999998,kg
2006,Administrativní a podpůrné činnosti,14444,"Pivo výčepní, světlé, lahvové",8.448800000000004,l
2006,Administrativní a podpůrné činnosti,14444,Papriky,35.310199999999995,kg
2006,Administrativní a podpůrné činnosti,14444,Kuřata kuchaná celá,47.47420000000001,kg
2006,Administrativní a podpůrné činnosti,14444,Jogurt bílý netučný,5.829,g
2006,Administrativní a podpůrné činnosti,14444,Šunkový salám,116.77419999999996,kg
2006,Administrativní a podpůrné činnosti,14444,Jablka konzumní,30.714799999999986,kg
2006,Administrativní a podpůrné činnosti,14444,Těstoviny vaječné,26.095600000000005,kg
2006,Administrativní a podpůrné činnosti,14444,Rostlinný roztíratelný tuk,69.45240000000001,kg
2006,Administrativní a podpůrné činnosti,14444,Rajská jablka červená kulatá,57.829800000000006,kg
2006,Administrativní a podpůrné činnosti,14444,Banány žluté,27.30520000000001,kg
2006,Administrativní a podpůrné činnosti,14444,Rýže loupaná dlouhozrnná,21.28900000000001,kg
2006,Administrativní a podpůrné činnosti,14444,Vejce slepičí čerstvá,23.494,ks
2006,Administrativní a podpůrné činnosti,14444,Hovězí maso zadní bez kosti,166.33839999999998,kg
2006,Administrativní a podpůrné činnosti,14444,Cukr krystalový,21.726199999999995,kg
2006,Administrativní a podpůrné činnosti,14444,Eidamská cihla,110.94640000000003,kg
2006,Administrativní a podpůrné činnosti,14444,Chléb konzumní kmínový,16.1234,kg
2006,Administrativní a podpůrné činnosti,14444,Mrkev,14.409799999999997,kg
2006,Administrativní a podpůrné činnosti,14444,Mléko polotučné pasterované,14.437999999999999,l
2006,Administrativní a podpůrné činnosti,14444,Přírodní minerální voda uhličitá,7.687799999999998,l
2006,Administrativní a podpůrné činnosti,14444,Kapr živý,69.35000000000001,kg
2006,Administrativní a podpůrné činnosti,14444,Konzumní brambory,12.075399999999997,kg
2006,Administrativní a podpůrné činnosti,14444,Pšeničná mouka hladká,7.407199999999998,kg
2006,Administrativní a podpůrné činnosti,14444,Vepřová pečeně s kostí,105.17739999999998,kg
2006,Administrativní a podpůrné činnosti,14444,Pečivo pšeničné bílé,38.596799999999995,kg
2006,Administrativní a podpůrné činnosti,14444,Pomeranče,24.73379999999999,kg
2006,Zdravotní a sociální péče,19042,Máslo,104.38779999999998,kg
2006,Zdravotní a sociální péče,19042,"Pivo výčepní, světlé, lahvové",8.448800000000004,l
2006,Zdravotní a sociální péče,19042,Papriky,35.310199999999995,kg
2006,Zdravotní a sociální péče,19042,Kuřata kuchaná celá,47.47420000000001,kg
2006,Zdravotní a sociální péče,19042,Jogurt bílý netučný,5.829,g
2006,Zdravotní a sociální péče,19042,Šunkový salám,116.77419999999996,kg
2006,Zdravotní a sociální péče,19042,Jablka konzumní,30.714799999999986,kg
2006,Zdravotní a sociální péče,19042,Těstoviny vaječné,26.095600000000005,kg
2006,Zdravotní a sociální péče,19042,Rostlinný roztíratelný tuk,69.45240000000001,kg
2006,Zdravotní a sociální péče,19042,Rajská jablka červená kulatá,57.829800000000006,kg
2006,Zdravotní a sociální péče,19042,Banány žluté,27.30520000000001,kg
2006,Zdravotní a sociální péče,19042,Rýže loupaná dlouhozrnná,21.28900000000001,kg
2006,Zdravotní a sociální péče,19042,Vejce slepičí čerstvá,23.494,ks
2006,Zdravotní a sociální péče,19042,Hovězí maso zadní bez kosti,166.33839999999998,kg
2006,Zdravotní a sociální péče,19042,Cukr krystalový,21.726199999999995,kg
2006,Zdravotní a sociální péče,19042,Eidamská cihla,110.94640000000003,kg
2006,Zdravotní a sociální péče,19042,Chléb konzumní kmínový,16.1234,kg
2006,Zdravotní a sociální péče,19042,Mrkev,14.409799999999997,kg
2006,Zdravotní a sociální péče,19042,Mléko polotučné pasterované,14.437999999999999,l
2006,Zdravotní a sociální péče,19042,Přírodní minerální voda uhličitá,7.687799999999998,l
2006,Zdravotní a sociální péče,19042,Kapr živý,69.35000000000001,kg
2006,Zdravotní a sociální péče,19042,Konzumní brambory,12.075399999999997,kg
2006,Zdravotní a sociální péče,19042,Pšeničná mouka hladká,7.407199999999998,kg
2006,Zdravotní a sociální péče,19042,Vepřová pečeně s kostí,105.17739999999998,kg
2006,Zdravotní a sociální péče,19042,Pečivo pšeničné bílé,38.596799999999995,kg
